2020.06.30 06:37:54 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Djava.io.tmpdir=/opt/sonarqube/temp, -XX:ErrorFile=../logs/es_hs_err_pid%p.log, -Des.enforce.bootstrap.checks=true, -Xmx512m, -Xms512m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch, -Des.path.conf=/opt/sonarqube/temp/conf/es, -Des.distribution.flavor=default, -Des.distribution.type=tar]
2020.06.30 06:37:55 INFO  es[][o.e.p.PluginsService] loaded module [analysis-common]
2020.06.30 06:37:55 INFO  es[][o.e.p.PluginsService] loaded module [lang-painless]
2020.06.30 06:37:55 INFO  es[][o.e.p.PluginsService] loaded module [mapper-extras]
2020.06.30 06:37:55 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2020.06.30 06:37:55 INFO  es[][o.e.p.PluginsService] loaded module [percolator]
2020.06.30 06:37:55 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2020.06.30 06:37:55 INFO  es[][o.e.p.PluginsService] loaded module [repository-url]
2020.06.30 06:37:55 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2020.06.30 06:37:55 INFO  es[][o.e.p.PluginsService] no plugins loaded
2020.06.30 06:37:59 WARN  es[][o.e.d.c.s.Settings] [http.enabled] setting was deprecated in Elasticsearch and will be removed in a future release! See the breaking changes documentation for the next major version.
2020.06.30 06:38:01 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen] and host providers [settings]
2020.06.30 06:38:02 INFO  es[][o.e.n.Node] initialized
2020.06.30 06:38:02 INFO  es[][o.e.n.Node] starting ...
2020.06.30 06:38:02 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2020.06.30 06:38:02 INFO  es[][o.e.b.BootstrapChecks] explicitly enforcing bootstrap checks
2020.06.30 06:38:05 INFO  es[][o.e.c.s.MasterService] zen-disco-elected-as-master ([0] nodes joined), reason: new_master {sonarqube}{4faSyD4QQhSNyQV8PSdzIw}{tZTsMXZ-QJ2aBifKPf408w}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}
2020.06.30 06:38:05 INFO  es[][o.e.c.s.ClusterApplierService] new_master {sonarqube}{4faSyD4QQhSNyQV8PSdzIw}{tZTsMXZ-QJ2aBifKPf408w}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}, reason: apply cluster state (from master [master {sonarqube}{4faSyD4QQhSNyQV8PSdzIw}{tZTsMXZ-QJ2aBifKPf408w}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube} committed version [1] source [zen-disco-elected-as-master ([0] nodes joined)]])
2020.06.30 06:38:05 INFO  es[][o.e.n.Node] started
2020.06.30 06:38:06 INFO  es[][o.e.g.GatewayService] recovered [7] indices into cluster_state
2020.06.30 06:38:08 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[metadatas][0]] ...]).
2020.06.30 06:39:08 INFO  es[][o.e.c.m.MetaDataDeleteIndexService] [projectmeasures/8Ai_5EjWR1ap8pZ3EPFp3Q] deleting index
2020.06.30 06:39:08 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [projectmeasures] creating index, cause [api], templates [], shards [5]/[0], mappings []
2020.06.30 06:39:08 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[projectmeasures][4]] ...]).
2020.06.30 06:39:08 INFO  es[][o.e.c.m.MetaDataMappingService] [projectmeasures/6UjPy2ywTF-rwOQCfU4Llg] create_mapping [auth]
2020.06.30 06:39:08 INFO  es[][o.e.c.m.MetaDataDeleteIndexService] [issues/YAmzl5tARjagsENDUJWCAQ] deleting index
2020.06.30 06:39:08 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [issues] creating index, cause [api], templates [], shards [5]/[0], mappings []
2020.06.30 06:39:08 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[issues][4]] ...]).
2020.06.30 06:39:08 INFO  es[][o.e.c.m.MetaDataMappingService] [issues/_3aJ8MIET3i8LFFzNG0sEQ] create_mapping [auth]
2020.06.30 06:41:57 INFO  es[][o.e.n.Node] stopping ...
2020.06.30 06:41:57 INFO  es[][o.e.n.Node] stopped
2020.06.30 06:41:57 INFO  es[][o.e.n.Node] closing ...
2020.06.30 06:41:57 INFO  es[][o.e.n.Node] closed
2020.06.30 06:41:58 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (/dev/mapper/vg_data-lvol0)]], net usable_space [284.9gb], net total_space [299.8gb], types [xfs]
2020.06.30 06:41:58 INFO  es[][o.e.e.NodeEnvironment] heap size [494.9mb], compressed ordinary object pointers [true]
